!Siglent Technologies,SHN914A,SHN9AA0CA00022,V1.0.0.2.15.R2
!Date: 2026-09-12 02:42:33
!Channel 1
!Trace1
Frequency,S21(DB),S21(DEG)
2.800000000000e+09,-5.106615620111e+00,2.909360919698e+00
2.840000000000e+09,-4.702351186919e+00,1.621211037360e+02
2.880000000000e+09,-4.754273318524e+00,-3.838496545322e+01
2.920000000000e+09,-4.979851556743e+00,1.298992446977e+02
2.960000000000e+09,-4.862942261829e+00,-6.493204831925e+01
3.000000000000e+09,-4.662328571494e+00,1.049902212820e+02
3.040000000000e+09,-4.549372867534e+00,-8.756568946507e+01
3.080000000000e+09,-5.176399965287e+00,8.383466025912e+01
3.120000000000e+09,-4.696889815072e+00,-1.032329143122e+02
3.160000000000e+09,-4.837609750556e+00,6.925453831465e+01
3.200000000000e+09,-4.617181484250e+00,-1.186976378570e+02
3.240000000000e+09,-4.750110404727e+00,5.379584533845e+01
3.280000000000e+09,-4.933321783900e+00,-1.315807807427e+02
3.320000000000e+09,-4.848115123644e+00,4.389060534675e+01
3.360000000000e+09,-4.711205281539e+00,-1.423114763879e+02
3.400000000000e+09,-4.804144588445e+00,3.159073640382e+01
3.440000000000e+09,-4.769485493299e+00,-1.527067115168e+02
3.480000000000e+09,-5.088167053380e+00,2.143810117601e+01
3.520000000000e+09,-4.835159683998e+00,-1.611771143960e+02
3.560000000000e+09,-4.933032527594e+00,1.249284735418e+01
3.600000000000e+09,-5.159009992676e+00,-1.710686906254e+02
3.640000000000e+09,-5.021450997409e+00,3.629230356764e+00
3.680000000000e+09,-5.369535911681e+00,-1.785800409125e+02
3.720000000000e+09,-5.116187735607e+00,-3.465927845648e+00
3.760000000000e+09,-5.149686365852e+00,1.722231237075e+02
3.800000000000e+09,-5.204267669021e+00,-1.285486568534e+01
3.840000000000e+09,-5.272256431548e+00,1.626035844147e+02
3.880000000000e+09,-5.401511580045e+00,-2.286904202316e+01
3.920000000000e+09,-5.351979573942e+00,1.535737746125e+02
3.960000000000e+09,-5.463529501344e+00,-3.287209389700e+01
4.000000000000e+09,-5.548322853578e+00,1.415396703069e+02
4.040000000000e+09,-5.580737296411e+00,-4.560476107918e+01
4.080000000000e+09,-5.824255150415e+00,1.276323838806e+02
4.120000000000e+09,-5.835468043834e+00,-6.080389168543e+01
4.160000000000e+09,-5.951902732985e+00,1.114608997606e+02
4.200000000000e+09,-6.074450448546e+00,-7.835213214246e+01
4.240000000000e+09,-6.233985340837e+00,9.091953497125e+01
4.280000000000e+09,-6.454417705163e+00,-1.019997592231e+02
4.320000000000e+09,-6.708688512607e+00,6.465152233430e+01
4.360000000000e+09,-7.011162038551e+00,-1.333107318010e+02
4.400000000000e+09,-7.483725509706e+00,2.644546829558e+01
4.440000000000e+09,-8.295896453149e+00,-1.789814504902e+02
4.480000000000e+09,-9.465828225928e+00,-3.127263711253e+01
4.520000000000e+09,-1.196672664228e+01,1.046293908304e+02
4.560000000000e+09,-1.929981415596e+01,-1.280374660300e+02
4.600000000000e+09,-3.037676639040e+01,3.843448747130e+01
4.640000000000e+09,-3.836613143322e+01,-1.426570859673e+02
4.680000000000e+09,-4.723420456733e+01,4.910449498556e+01
4.720000000000e+09,-5.304247246413e+01,-1.093485636677e+02
4.760000000000e+09,-6.003556646249e+01,9.505625850965e+01
4.800000000000e+09,-6.495630895571e+01,-5.218196960660e+01
4.840000000000e+09,-6.562184162947e+01,1.683873729066e+02
4.880000000000e+09,-6.736154135325e+01,3.763076075677e+01
4.920000000000e+09,-6.519141510501e+01,-1.227396506218e+02
4.960000000000e+09,-6.905498615001e+01,8.692950172272e+01
5.000000000000e+09,-6.831312600485e+01,-4.330594648951e+01
5.040000000000e+09,-6.600879291087e+01,1.508508849901e+02
5.080000000000e+09,-6.890891783216e+01,2.974346877268e+00
5.120000000000e+09,-6.364202987328e+01,-1.556873179066e+02
5.160000000000e+09,-6.402497021684e+01,5.289191236033e+01
5.200000000000e+09,-6.255188140364e+01,-1.031340174859e+02
5.240000000000e+09,-6.413105749059e+01,9.724209080869e+01
5.280000000000e+09,-6.088826214802e+01,-4.576712145120e+01
5.320000000000e+09,-6.244779266589e+01,1.337299329762e+02
5.360000000000e+09,-6.236406601783e+01,-1.415334839359e+01
5.400000000000e+09,-6.173747141503e+01,-1.741397678047e+02
5.440000000000e+09,-6.504649446029e+01,2.867028763672e+01
5.480000000000e+09,-6.375970021653e+01,-1.192190560214e+02
5.520000000000e+09,-6.411779302155e+01,8.375798733326e+01
5.560000000000e+09,-6.499585874205e+01,-6.922167513130e+01
5.600000000000e+09,-6.586529718532e+01,1.372117458303e+02
5.640000000000e+09,-6.923458210151e+01,1.376719700542e+00
5.680000000000e+09,-6.416014345961e+01,-1.580037433130e+02
5.720000000000e+09,-6.499428387125e+01,4.798568966902e+01
5.760000000000e+09,-6.363746800040e+01,-1.020840111437e+02
5.800000000000e+09,-6.447397607580e+01,9.328838538832e+01
5.840000000000e+09,-6.607238863127e+01,-7.045044411492e+01
5.880000000000e+09,-6.524860222762e+01,1.374423100530e+02
5.920000000000e+09,-6.684288797589e+01,-2.838921605103e+01
5.960000000000e+09,-7.283386358282e+01,-1.500104510719e+02
6.000000000000e+09,-7.361252270905e+01,3.115422819663e+01
6.040000000000e+09,-7.068280721609e+01,-1.050084657120e+02
6.080000000000e+09,-7.086550631371e+01,1.198850405834e+02
6.120000000000e+09,-7.376831155887e+01,-1.080772821818e+01
6.160000000000e+09,-8.776084604048e+01,-1.797011889994e+02
6.200000000000e+09,-8.213178585891e+01,-6.011605151620e+01
6.240000000000e+09,-6.974821987096e+01,-7.594147292981e+01
6.280000000000e+09,-7.494613657112e+01,1.000108722864e+02
6.320000000000e+09,-6.616726857760e+01,-5.869913621043e+01
6.360000000000e+09,-7.531409235058e+01,-1.455116006915e+02
6.400000000000e+09,-6.548369679956e+01,1.260591103582e+02
6.440000000000e+09,-6.817311661487e+01,-6.943428519954e+01
6.480000000000e+09,-6.281551388698e+01,1.682934515227e+02
6.520000000000e+09,-6.467655474985e+01,-4.651270788326e+01
6.560000000000e+09,-6.469125925927e+01,-1.685672831517e+02
6.600000000000e+09,-7.373619394245e+01,-8.858550416712e+01
6.640000000000e+09,-6.212004390215e+01,-1.321859614650e+02
6.680000000000e+09,-7.062064948561e+01,9.708452630584e+01
6.720000000000e+09,-6.774379589690e+01,-8.714237087955e+01
6.760000000000e+09,-6.601087865330e+01,-1.744814061052e+02
6.800000000000e+09,-7.475292385337e+01,4.227952280572e+00
6.840000000000e+09,-6.638017570751e+01,-1.137706363520e+02
6.880000000000e+09,-6.869616975431e+01,1.054396046682e+02
6.920000000000e+09,-6.469164874683e+01,-5.868247405891e+01
6.960000000000e+09,-6.519940582195e+01,1.183641023559e+02
7.000000000000e+09,-6.520983030420e+01,-2.297932543309e+01
7.040000000000e+09,-6.475154988659e+01,1.792991264486e+02
7.080000000000e+09,-6.643939961623e+01,2.122203773071e+01
7.120000000000e+09,-6.428937400702e+01,-8.782371075004e+01
7.160000000000e+09,-7.062859763631e+01,1.036868032281e+02
7.200000000000e+09,-7.097132503645e+01,-3.100313392597e+01
7.240000000000e+09,-5.512479695112e+01,1.459465734115e+02
7.280000000000e+09,-5.993343068593e+01,-1.016543990994e+02
7.320000000000e+09,-5.489955300097e+01,1.659916812037e+02
7.360000000000e+09,-5.989328863154e+01,8.697572673942e+00
7.400000000000e+09,-5.283149904070e+01,-1.453541063312e+02
7.440000000000e+09,-5.180996159442e+01,2.748248973332e+01
7.480000000000e+09,-4.910604774878e+01,-1.195485274136e+02
7.520000000000e+09,-4.553588952022e+01,4.857542325114e+01
7.560000000000e+09,-4.461663989451e+01,-1.458371488301e+02
7.600000000000e+09,-4.834276089299e+01,1.787425601736e+01
7.640000000000e+09,-5.230346907154e+01,-1.507118977359e+02
7.680000000000e+09,-5.776437669589e+01,3.159957629901e+01
7.720000000000e+09,-5.822785178591e+01,-1.129415663340e+02
7.760000000000e+09,-6.214090264351e+01,7.496447366759e+01
7.800000000000e+09,-6.764400408897e+01,-2.738302677138e+01
7.840000000000e+09,-7.011428569841e+01,-1.541961220222e+02
7.880000000000e+09,-6.917079882794e+01,9.462150424151e+01
7.920000000000e+09,-5.299981657782e+01,-9.932668274524e+01
7.960000000000e+09,-5.893138632241e+01,8.095873558454e+01
8.000000000000e+09,-5.834700109994e+01,-7.299163563170e+01
8.040000000000e+09,-6.176492453196e+01,1.290597433216e+02
8.080000000000e+09,-6.313157055662e+01,-3.100014429049e+01
8.120000000000e+09,-6.289224492553e+01,1.746769571472e+02
8.160000000000e+09,-6.683406407958e+01,1.501249894917e+01
8.200000000000e+09,-6.500991445183e+01,-1.172217826482e+02
8.240000000000e+09,-6.399583412509e+01,8.276584385498e+01
8.280000000000e+09,-6.836268734967e+01,-4.007678344315e+01
8.320000000000e+09,-6.547000977112e+01,1.423715213591e+02
8.360000000000e+09,-7.115162944934e+01,2.145536769491e+01
8.400000000000e+09,-6.756351722198e+01,-1.353284737071e+02
8.440000000000e+09,-7.036608368541e+01,6.216792125203e+01
8.480000000000e+09,-7.030448918759e+01,-6.389514422708e+01
8.520000000000e+09,-7.058916509317e+01,9.860834276767e+01
8.560000000000e+09,-7.176223163520e+01,-7.139159358111e+01
8.600000000000e+09,-6.658811860698e+01,9.040061191557e+01
8.640000000000e+09,-6.178137645763e+01,-9.077968804708e+01
8.680000000000e+09,-5.351558210413e+01,1.039773719413e+02
8.720000000000e+09,-4.920865137880e+01,-7.666748130162e+01
8.760000000000e+09,-4.171889761222e+01,1.149592241881e+02
8.800000000000e+09,-3.899954366861e+01,-9.226296660276e+01
8.840000000000e+09,-3.718233515462e+01,8.245561574538e+01
8.880000000000e+09,-4.056721650027e+01,-1.221851579758e+02
8.920000000000e+09,-4.330429264206e+01,8.883826992872e+01
8.960000000000e+09,-4.463029969024e+01,-9.208003147231e+01
9.000000000000e+09,-4.868648059152e+01,1.249552627154e+02
